核苷种类,A溶剂,A添加剂种类mmol,A添加剂种类percent,B溶剂,B添加剂种类mmol,B添加剂种类percent,H,S*,A,B,C (pH 2.8),C (pH 7.0),色谱柱调料粒径,色谱柱长度,色谱柱内径,柱温,A添加剂种类浓度mmol,A添加剂种类浓度%,B添加剂种类浓度mmol,B添加剂种类浓度%,时间min,比例A,时间min1,比例A1,时间min2,比例A2,时间min3,比例A3,时间min4,比例A4,时间min5,比例A5,时间min6,比例A6,时间min7,比例A7,时间min8,比例A8,时间min9,比例A9,流速,进样量,保留时间
次黄嘌呤,水,无,无,水,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,6.1
黄嘌呤,水,无,无,乙腈,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,7
尿苷,水,无,无,乙腈,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,7.8
肌苷,水,无,无,乙腈,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,11.5
鸟苷,水,无,无,乙腈,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,12
胸苷,水,无,无,乙腈,无,无,1.03,0.01,-0.14,-0.02,0.08,0,5,250,4.6,30,0,0,0,0,0,0,3,2,3.1,3,6,3,6.1,4,9.1,7,17,7,17.1,2,20,2,-1,101,1,5,15.9
尿嘧啶,水,无,无,乙腈,无,无,1,0.028,-0.366,0.007,0.142,0.088,1.7,100,2.1,30,0,0,0,0,0,99,3,95,7,90,8,85,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.2,4,1.7
尿苷,水,无,无,乙腈,无,无,1,0.028,-0.366,0.007,0.142,0.088,1.7,100,2.1,30,0,0,0,0,0,99,3,95,7,90,8,85,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.2,4,6.5
鸟苷,水,无,无,乙腈,无,无,1,0.028,-0.366,0.007,0.142,0.088,1.7,100,2.1,30,0,0,0,0,0,99,3,95,7,90,8,85,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.2,4,4.2
腺苷,水,无,无,乙腈,无,无,1,0.028,-0.366,0.007,0.142,0.088,1.7,100,2.1,30,0,0,0,0,0,99,3,95,7,90,8,85,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,0.2,4,2.5
尿嘧啶,水,无,无,乙腈,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,25,0,0,0,0,0,99,5,99,10,95,20,88,30,76,40,69,-1,101,-1,101,-1,101,-1,101,0.8,20,9
腺嘌呤,水,无,无,甲醇,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,35,0,0,0,0,0,96,18,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,20,8.6
尿苷,水,无,无,乙腈,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,35,0,0,0,0,0,96,18,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,20,5
尿苷,水,无,无,乙腈,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,25,0,0,0,0,0,99,5,99,10,95,20,88,30,76,40,69,-1,101,-1,101,-1,101,-1,101,0.8,20,17.5
腺苷,水,无,无,甲醇,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,35,0,0,0,0,0,96,18,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,20,17
腺苷,水,无,无,乙腈,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,25,0,0,0,0,0,99,5,99,10,95,20,88,30,76,40,69,-1,101,-1,101,-1,101,-1,101,0.8,20,34.5
尿苷,水,无,无,甲醇,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,35,0,0,0,0,0,96,18,96,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,-1,101,1,20,7.8
腺苷,水,无,磷酸,乙腈,无,无,0.94,-0.03,-0.18,0,0.02,0.71,5,250,4.6,35,0,0.001,0,0,0,100,10,100,25,98,35,95,80,75,90,70,100,45,-1,-1,-1,-1,-1,-1,1,25,18
尿嘧啶,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,3.9
胞苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,4.2
次黄嘌呤,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,5.1
鸟苷,水,无,无,水,无,无,0.99,-0.01,0.03,-0.01,0.09,0.39,5,250,4.6,25,0,0,0,0,0,99,5,99,10,95,20,88,30,76,40,69,-1,101,-1,101,-1,101,-1,101,0.8,20,26
腺嘌呤,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,10.5
肌苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,11
胸苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,14
腺苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,14.2
尿嘧啶,水,无,无,水,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,6
胞苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,7
胸腺嘧啶,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,12
腺嘌呤,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,20
肌苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,23
胸苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,30
腺苷,水,无,无,甲醇,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,65,15,45,30,28,40,15,50,10,55,65,60,65,-1,101,-1,101,-1,101,1,50,42
胞嘧啶,水,无,甲酸,甲醇,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,0.9
胞嘧啶,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,0.9
尿嘧啶,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,1.8
尿嘧啶,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,2
尿嘧啶,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,1.7
胞苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,1.8
次黄嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,2.8
次黄嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,3.4
次黄嘌呤,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,2.8
黄嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,3.3
黄嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,4.2
黄嘌呤,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,3.4
鸟嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,2.1
鸟嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,2.4
鸟嘌呤,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,2.2
脱氧尿苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,7.6
脱氧尿苷,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,6.7
胸腺嘧啶,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,4.2
腺嘌呤,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,2
腺嘌呤,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,2
肌苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,5.7
肌苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,8.8
肌苷,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,5.6
脱氧肌苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,9.8
2-脱氧鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,6.8
2-脱氧鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,10
2-脱氧鸟苷,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,6.8
胸苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,7.5
胸苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,11
胸苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,6.5
β-胸苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,6.5
β-胸苷,水,无,甲酸,水,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.0001,0,0,0,100,1,100,8,92,9,85,10.5,85,11,100,15,100,-1,101,-1,101,-1,101,0.3,3,7.5
胞嘧啶,水,无,无,乙腈,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,8
胞嘧啶,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,8.25
尿嘧啶,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,16
尿嘧啶,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,16.24
腺嘌呤,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,6
腺嘌呤,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,6.4
肌苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,10
肌苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,10.32
腺苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,23
腺苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,22
腺苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,22.39
腺苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,23.5
β-胸苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,19
β-胸苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,22.5
2-脱氧腺苷,水,无,无,甲醇,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,99,10,95,15,85,20,80,30,80,35,65,40,99,-1,101,-1,101,-1,101,1,10,24
尿嘧啶,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,8
次黄嘌呤,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,18
黄嘌呤,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,19
尿苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,6
鸟苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,12.1
胸苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,44
腺苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,54
尿嘧啶,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,6
胞苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,7.6
胸腺嘧啶,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,13.5
腺嘌呤,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,18.7
肌苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,16.1
