色谱柱类型,色谱柱调料粒径μm,色谱柱长度mm,色谱柱内径mm,柱温,A,A添加剂种类mmol,A添加剂种类%,B,B添加剂种类mmol,B添加剂种类%,A添加剂浓度mmol/L,A添加剂比例(v/v),pH,B浓度mmol/L,B添加剂比例(v/v),pH,起始时间min,起始比例A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,中间点时间 min,中间点比例A,流量mL/min,进样量μL,胞嘧啶,尿嘧啶,胞苷,次黄嘌呤,黄嘌呤,鸟嘌呤,尿苷,脱氧尿苷,胸腺嘧啶,腺嘌呤,肌苷,脱氧肌苷,鸟苷,2-脱氧鸟苷,胸苷,腺苷,β-胸苷,2-脱氧腺苷,虫草素
Sunfire C18,5,150,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,10,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,9.2,14.8,0,0,0
Acclaim 120 C18,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,3,98,3.1,97,6,97,6.1,96,9.1,93,17,93,17.1,98,20,98,-1,-1,1,5,0,0,0,6.1,7,0,7.8,0,0,0,11.5,0,12,0,15.9,0,0,0,0
Acquity UPLC BEH C18,1.7,100,2.1,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,3,5,7,10,8,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,4,0,1.7,0,0,0,0,6.5,0,0,0,0,0,4.2,0,0,2.5,0,0,0
Acquity UPLC BEH C18,1.7,100,2.1,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,3,5,7,10,8,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,4,0,1.7,0,0,0,0,6.5,0,0,0,0,0,4.2,0,0,2.5,0,0,0
Alltima C18,5,250,4.6,35,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,4,18,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,0,0,0,0,0,5,0,0,8.6,0,0,7.8,0,0,17,0,0,0
Alltima C18,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,5,1,10,5,20,12,30,24,40,31,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,9,0,0,0,0,17.5,0,0,0,0,0,26,0,0,34.5,0,0,0
Alltima C18,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,5,1,10,5,20,12,30,24,40,31,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,9,0,0,0,0,17.5,0,0,0,0,0,26,0,0,34.5,0,0,0
Atlantis T3,5,250,4.6,35,水,无,磷酸,乙腈,无,无,0,0.001 ,0,0,0.0000 ,0,0,100,10,100,25,98,35,95,80,75,90,70,100,45,-1,-1,-1,-1,-1,-1,1,25,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,18,0,0,0
Capcell Pak C18 MGII,3,150,4.6,35,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,0,3.9,4.2,5.1,0,0,6,0,0,10.5,11,0,12.1,0,14,14.2,0,0,0
Eclipse XDB-C18,5,250,4.6,35,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,2,7,2,13,3,25,20,30,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,4,5.5,6,0,0,7.2,0,0,12.6,14.4,0,15.6,0,21.2,24,0,0,0
Gemimi C18 110A,5,250,4.6,30,甲醇,无,无,水,乙酸铵,无,0,0.000 ,0,5,0.0000 ,0,0,0,10,0,25,15,30,15,40,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,0,6.2,0,11.5,12.5,0,13.5,0,0,0,21.4,0,22.2,24.4,0,0,0,0,0
Gemini C18 110A,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,35,15,55,30,72,40,85,50,90,55,35,60,35,-1,-1,-1,-1,-1,-1,1,50,0,6,7,0,0,0,11,0,12,20,23,0,25,0,30,42,0,0,0
HSS T3,1.8,100,2.1,30,水,无,甲酸,乙腈,无,无,0,0.006 ,0,0,0.0000 ,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,0.9,1.8,0,2.8,3.3,2.1,3.8,0,4.2,2,5.7,0,5.9,6.8,7.5,0,6.5,0,0
HSS T3,1.7,100,2.1,30,水,无,甲酸,乙腈,无,无,0,0.006 ,0,0,0.0000 ,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,0,2,1.8,3.4,4.2,2.4,4.6,7.6,0,0,8.8,9.8,9.2,10,11,0,0,0,0
HSS T3,1.8,100,2.1,30,乙腈,无,无,甲酸,无,甲酸,0,0.000 ,0,0,0.0001 ,0,0,0,1,0,8,8,9,15,10.5,15,11,0,15,0,-1,-1,-1,-1,-1,-1,0.3,3,0.9,1.7,0,2.8,3.4,2.2,3.8,6.7,0,2,5.6,0,5.8,6.8,6.5,0,7.5,0,0
Inertsil ODS-SP,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,8,16,0,0,0,0,18,0,0,6,10,0,0,0,0,23,19,24,0
Inertsil ODS-SP,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Inertsil ODS-SP,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,8.25,16.24,0,0,0,0,17.73,0,0,0,10.32,0,0,0,0,22.39,0,0,0
Inertsil ODS-SP,5,250,4.6,25,甲醇,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,0,0,0,0,0,0,0,0,0,6.4,10,0,17.5,0,0,23.5,22.5,24,0
Luna PFP(2),5,250,4.6,35,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,8,0,18,19,0,20,0,0,0,0,0,36,0,44,54,0,0,0
Luna PFP(2),5,250,4.6,35,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,8,0,18,19,0,20,0,0,0,0,0,36,0,44,54,0,0,0
Luna PFP(2) ,5,250,4.6,35,水,无,无,甲醇,无,无,0,0.000 ,0,0,0.0000 ,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,0,8,0,18,19,0,20,0,0,0,32.5,0,36,0,44,54,0,0,0
Nucleosil C18,5,250,4.6,40,水,磷酸二氢钾,无,甲醇,无,无,10,0.000 ,0,0,0.0000 ,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,6,7.6,0,0,0,10.1,0,13.5,18.7,16.1,0,16.6,0,18.4,19.9,0,0,0
Poroshell 120 SB-AQ,2.7,50,4.6,35,水,乙酸铵,无,乙醇,无,无,40,0.000 ,0,0,0.0000 ,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,0,0,0,3,0,0,1.8,0,0,0,3.4,0,0,0,0,5.2,0,0,0
Poroshell 120 SB-AQ,2.7,50,4.6,35,水,无,甲酸,乙醇,无,无,0,0.001 ,0,0,0.0000 ,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,0,0,0,0,0,0,3,0,0,0,5.6,0,6.1,0,0,7.1,0,0,0
Prevail C18,5,250,4.6,30,甲醇,无,无,水,磷酸,无,0,0.000 ,0,0,0.0010 ,0,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,0,0,8,0,0,0,15,0,0,0,0,0,22,0,27,17,0,21,0
Purospher STAR RP18e,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,0,7.2,0,14.5,15,0,15.8,0,21.7,0,28.8,31,30,34,0,35.6,0,0,0
Purospher STAR RP18e,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,0,7.2,0,14.5,15,0,15.8,0,21.7,0,28.8,31,30,0,0,35.6,0,0,0
Sunfire C18,5,250,4.6,30,乙腈,无,无,水,无,无,0,0.000 ,0,0,0.0000 ,0,0,0,9,1,13,4,18,4,23,25,23.5,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,0,6.4,0,10.5,16.1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
