ID,Name,Manufacturer,Silica type,H,S*,A,B,C (pH 2.8),C (pH 7.0),EB retention factor,USP type,Phase type
93,Acclaim 120 C18,Dionex,B,1.03,0.01,-0.14,-0.02,0.08,0,10.1,L1,C18
94,Acclaim 120 C8,Dionex,B,0.85,0,-0.27,0.01,0.08,0.01,6,L7,C8
628,Acclaim C30,Thermo/Hypersil,B,0.973,-0.022,-0.126,0.004,0.353,0.32,5.52,L62,C30
629,Acclaim Phenyl-1,Thermo/Hypersil,phenyl,0.689,-0.15,-0.548,0.068,0.013,0.15,4.27,L11,Phenyl
756,Acclaim Mixed-Mode HILIC-1,Thermo/Hypersil,B,0.517,-0.086,0,0.126,0.067,0.893,1.7,L60,EP
757,Acclaim Mixed-Mode WCX-1,Thermo/Hypersil,B,0.432,-0.099,-0.606,0.168,-0.156,0.99,1.5,L60,EP
97,Acclaim Organic Acid,Dionex,other,0.83,-0.06,-0.38,0,-0.31,0.34,6.7,,Other
96,Acclaim Polar Advantage,Dionex,EP,0.85,-0.06,-0.11,0.02,-0.27,0.35,6.8,L60,EP
98,Acclaim PolarAdvantage II,Dionex,EP,0.74,0.01,-0.55,0.21,-0.22,0.67,6.3,L60,EP
95,Acclaim300 C18,Dionex,B,0.95,-0.01,-0.17,0.01,0.26,0.22,2.9,L1,C18
620,Accucore 150-C18,Thermo/Hypersil,B,1.03,0.046,-0.037,-0.009,0.2,0.171,4.45,L1,C18
621,Accucore 150-C4,Thermo/Hypersil,B,0.738,-0.008,-0.309,0.023,0.13,0.224,2.17,L26,C4
622,Accucore aQ,Thermo/Hypersil,EP,1.07,0.05,0.002,-0.059,0.06,0.508,5.46,L60,EP
760,Accucore Biphenyl,Thermo/Hypersil,B,0.706,-0.18,-0.317,0.025,0.077,0.727,3.3,L11,phenyl
617,Accucore C18,Thermo/Hypersil,B,1.09,0.054,0.055,-0.04,0.072,0.095,6.5,L1,C18
619,Accucore C30,Thermo/Hypersil,B,0.978,-0.02,-0.143,-0.002,0.321,0.462,4.52,L62,C30
618,Accucore C8,Thermo/Hypersil,B,0.924,0.015,-0.084,-0.003,0.002,0.186,5.2,L7,C8
625,Accucore PFP,Thermo/Hypersil,F,0.729,-0.098,-0.249,-0.036,0.873,1.66,3.22,L43,F
624,Accucore Phenyl-Hexyl,Thermo/Hypersil,phenyl,0.786,-0.047,-0.223,0.006,0.055,0.574,3.6,L11,Phenyl
623,Accucore Phenyl-X,Thermo/Hypersil,phenyl,0.781,-0.103,-0.554,0.044,-0.294,-0.082,3.64,L11,Phenyl
627,Accucore Polar Premium,Thermo/Hypersil,EP,0.871,0.103,-0.567,0.217,-0.207,0.787,5.6,L60,EP
626,Accucore RP-MS,Thermo/Hypersil,B,1,0.024,-0.015,-0.006,0.027,0.057,6.2,,
615,Accucore XL C18,Thermo/Hypersil,B,1.09,0.059,0.051,-0.038,0.086,0.384,5.22,L1,C18
616,Accucore XL C8,Thermo/Hypersil,B,0.926,0.02,-0.161,-0.001,0.02,-0.432,4.63,L7,C8
160,ACE 5 AQ,ACT,EP,0.8,-0.05,-0.12,0.03,0,0.16,4.7,,EP
155,ACE 5 C18,ACT,B,1,0.02,-0.09,0,0.14,0.09,7.9,L1,C18
156,ACE 5 C18-300,ACT,B,0.98,0.02,0.04,0.01,0.26,0.23,3,L1,C18
407,ACE 5 C18-AR,ACT,phenyl,0.88,-0.05,-0.2,-0.01,0.07,0.15,5.7,L1,Phenyl
372,ACE 5 C18-HL,ACT,B,1.04,0.05,-0.08,-0.03,-0.03,-0.11,10,L1,C18
535,Ace 5 C18-PFP,ACT,B,0.899,-0.021,-0.246,-0.08,-0.001,-0.995,5.9,L1,C18
153,ACE 5 C4,ACT,B,0.67,-0.01,-0.17,0.02,0.09,0.31,2.5,L26,C4
154,ACE 5 C4-300,ACT,B,0.71,-0.01,-0.18,0.03,0.16,0.35,1.3,L26,C4
157,ACE 5 C8,ACT,B,0.827,0.005,-0.18,0.026,0.11,0.16,4.9,L7,C8
152,ACE 5 C8-300,ACT,B,0.78,0,-0.11,0.03,0.14,0.38,1.8,L7,C8
158,ACE 5 CN,ACT,CN,0.4,-0.1,-0.72,0,-0.08,0.44,1,L10,CN
159,ACE 5 CN-300,ACT,CN,0.46,-0.07,-0.16,0.03,0.15,0.85,0.4,L10,CN
161,ACE 5 Phenyl,ACT,phenyl,0.64,-0.13,-0.29,0.02,0.13,0.46,2.8,L11,Phenyl
162,ACE Phenyl-300,ACT,phenyl,0.59,-0.1,-0.23,0.03,0.16,0.54,1.1,L11,Phenyl
697,Acquity UPLC BEH C18,Waters,B,1,0.028,-0.366,0.007,0.142,0.088,6.4,L1,C18
330,Acquity UPLC BEH C8,Waters,B,0.85,0,0.09,0.05,0.22,0.77,2.7,L7,C8
331,Acquity UPLC BEH Phenyl,Waters,phenyl,0.76,-0.07,-0.05,0.06,0.29,0.58,2,L11,Phenyl
332,Acquity UPLC BEH Shield RP-18,Waters,EP,0.9,0.01,-0.03,0.13,-0.05,0.41,3.5,,EP
698,Acquity UPLC CSH C18,Waters,EP,0.968,0,-0.355,0.199,0.065,0.157,6.1,L60,EP
764,Adamas C18-AQ,SepaChrom,B,0.847,-0.069,-0.162,0.011,-0.067,0.664,9.3,L1,C18
766,Adamas C18-Classic,SepaChrom,B,1.01,-0.024,-0.101,-0.001,0.036,0.083,12.3,L1,C18
765,Adamas C18-Extreme,SepaChrom,B,1.05,0.022,-0.017,-0.03,0.037,0.167,12.7,L1,C18
762,Adamas C18-Select,SepaChrom,B,0.948,-0.066,0.422,0.006,0.131,1.2,12.1,L1,C18
763,Adamas C18-X-Bond,SepaChrom,B,1.04,0.013,0.095,-0.034,-0.053,0.639,12.4,L1,C18
24,Adsorbosphere C18,Grace/Alltech,A,0.98,-0.07,0.07,-0.04,1.49,1.68,7.7,L1,C18
25,Adsorpbosphere UHS C18,Grace/Alltech,B,1.1,0,0.4,-0.04,-0.12,-0.12,18.2,L1,C18
