时间,A比例,1
0,4,
18,4,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0,97,2
30,97,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0,100,3
8,100,
15,80,
30,10,
35,0,
40,100,
,,
,,
,,
,,
,,
0,0,4
10,0,
20,5,
25,5,
35,30,
40,0,
,,
,,
,,
,,
,,
0,0,5
10,0,
20,5,
25,5,
35,30,
40,0,
,,
,,
,,
,,
,,
0,4,6
15,4,
20,15,
35,25,
36,98,
40,4,
,,
,,
,,
,,
,,
0,0,7
9,1,
13,4,
18,4,
23,25,
23.5,0,
,,
,,
,,
,,
,,
0,100,8
8,100,
40,85,
48,85,
,,
,,
,,
,,
,,
,,
,,
0,1,
6,1,
15,4,
25,8,
60,20,
,,
,,
,,
,,
,,
,,
0,2,
12,2,
16,8,
18,2,
,,
,,
,,
,,
,,
,,
,,
0,1,
10,5,
15,15,
20,20,
30,20,
35,35,
40,1,
,,
,,
,,
,,
0,1,
10,5,
15,15,
20,20,
30,20,
35,35,
40,1,
,,
,,
,,
,,
0,1,
10,5,
15,15,
21,17,
25,20,
30,24,
,,
,,
,,
,,
,,
0,1,
10,5,
15,15,
20,20,
30,30,
,,
,,
,,
,,
,,
,,
0,35,
15,55,
30,72,
40,85,
50,90,
55,35,
60,35,
,,
,,
,,
,,
0,0,
10,0,
15,5,
30,20,
35,25,
36,0,
45,0,
,,
,,
,,
,,
0,0.3,
10,0.3,
20,5,
35,15,
36,0.3,
41,0.3,
,,
,,
,,
,,
,,
0,5,
20,5,
26,10,
31,40,
,,
,,
,,
,,
,,
,,
,,
0,10,
15,10,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0,0,
5,0,
15,3,
25,10,
30,10,
31,0,
40,0,
,,
,,
,,
,,
0,99,
50,99,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0,0,
9,0,
40,8,
,,
,,
,,
,,
,,
,,
,,
,,
0,4,
15,4,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0,100,
10,100,
25,98,
35,95,
80,75,
90,70,
100,45,
,,
,,
,,
,,
0,1,
3,5,
7,10,
8,15,
,,
,,
,,
,,
,,
,,
,,
0,1,
3,5,
7,10,
8,15,
