,中药类_6,药用来源大类_1,药用来源大类_2,药用来源大类_4,药用来源大类_7,药用来源细类_2,药用来源细类_3,药用来源细类_6,药用来源细类_7,药用来源细类_8,药用来源细类_31,药用来源细类_81,药用来源细类_102,药用来源细类_105,药用来源细类_109,药用来源细类_203,药用来源细类_206,药用来源细类_251,药用来源细类_254,药用来源细类_255,药用来源细类_271,药用来源细类_507,药用来源细类_512,药用来源细类_537,药用来源细类_541,药用来源细类_547,药用来源细类_549,药用来源细类_561,药用来源细类_586,药用来源细类_593,药用来源细类_642,药用来源细类_643,药用来源细类_711,药用来源细类_724,药用来源细类_735,药用来源细类_741,药用来源细类_908,药用来源细类_916,药用来源细类_929,药用来源细类_932,药用来源细类_939,药用来源细类_999,药用部位大类_1,药用部位大类_2,药用部位大类_4,药用部位大类_5,药用部位大类_9,药用部位细类_1,药用部位细类_2,药用部位细类_3,药用部位细类_4,药用部位细类_5,药用部位细类_6,药用部位细类_7,药用部位细类_8,药材种类序号_1,药材种类序号_2,药材种类序号_3,药材种类序号_4,药材种类序号_5,药材种类序号_6,药材种类序号_8,中药类别及其规格_0,中药类别及其规格_3,中药类别及其规格_4,中药类别及其规格_9,中药类别及其规格_99,中药类别及其规格_100,中药类别及其规格_101,中药类别及其规格_102,中药类别及其规格_103,中药类别及其规格_104,中药类别及其规格_105,中药类别及其规格_106,中药类别及其规格_107,中药类别及其规格_108,中药类别及其规格_109,中药炮制方法_0,中药炮制方法_31,中药炮制方法_61,中药炮制方法_71
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
